# Układ: x' = x(y-1),  y' = 3x - 2y + x^2 - 2y^2
# IC: x0=2.5, y0=0, dt=1.000e-03, nsteps=10000
# t	x(t)	y(t)
0.00000000e+00	2.500000000000e+00	0.000000000000e+00
1.00000000e-03	2.464485876456e+00	2.000000000000e-03
2.00000000e-03	2.432758412229e+00	4.000000000000e-03
3.00000000e-03	2.404200784877e+00	6.000000000000e-03
4.00000000e-03	2.378329974993e+00	8.000000000000e-03
5.00000000e-03	2.354761309649e+00	1.000000000000e-02
6.00000000e-03	2.333183913145e+00	1.200000000000e-02
7.00000000e-03	2.313343294949e+00	1.400000000000e-02
8.00000000e-03	2.295028736447e+00	1.600000000000e-02
9.00000000e-03	2.278063982114e+00	1.800000000000e-02
1.00000000e-02	2.262300254593e+00	2.000000000000e-02
1.10000000e-02	2.247610935164e+00	2.200000000000e-02
1.20000000e-02	2.233887458013e+00	2.400000000000e-02
1.30000000e-02	2.221036102738e+00	2.600000000000e-02
1.40000000e-02	2.208975460818e+00	2.800000000000e-02
1.50000000e-02	2.197634414195e+00	3.000000000000e-02
1.60000000e-02	2.186950507484e+00	3.200000000000e-02
1.70000000e-02	2.176868625960e+00	3.400000000000e-02
1.80000000e-02	2.167339913428e+00	3.600000000000e-02
1.90000000e-02	2.158320879955e+00	3.800000000000e-02
2.00000000e-02	2.149772661180e+00	4.000000000000e-02
2.10000000e-02	2.141660399548e+00	4.200000000000e-02
2.20000000e-02	2.133952724351e+00	4.400000000000e-02
2.30000000e-02	2.126621312387e+00	4.600000000000e-02
2.40000000e-02	2.119640514801e+00	4.800000000000e-02
2.50000000e-02	2.112987038608e+00	5.000000000000e-02
2.60000000e-02	2.106639673630e+00	5.200000000000e-02
2.70000000e-02	2.100579057356e+00	5.400000000000e-02
2.80000000e-02	2.094787471635e+00	5.600000000000e-02
2.90000000e-02	2.089248666208e+00	5.800000000000e-02
3.00000000e-02	2.083947704979e+00	6.000000000000e-02
3.10000000e-02	2.078870831622e+00	6.200000000000e-02
3.20000000e-02	2.074005351708e+00	6.400000000000e-02
3.30000000e-02	2.069339528992e+00	6.600000000000e-02
3.40000000e-02	2.064862493886e+00	6.800000000000e-02
3.50000000e-02	2.060564162464e+00	7.000000000000e-02
3.60000000e-02	2.056435164569e+00	7.200000000000e-02
3.70000000e-02	2.052466779859e+00	7.400000000000e-02
3.80000000e-02	2.048650880752e+00	7.600000000000e-02
3.90000000e-02	2.044979881415e+00	7.800000000000e-02
4.00000000e-02	2.041446692051e+00	8.000000000000e-02
4.10000000e-02	2.038044677834e+00	8.200000000000e-02
4.20000000e-02	2.034767621957e+00	8.400000000000e-02
4.30000000e-02	2.031609692302e+00	8.600000000000e-02
4.40000000e-02	2.028565411316e+00	8.800000000000e-02
4.50000000e-02	2.025629628746e+00	9.000000000000e-02
4.60000000e-02	2.022797496904e+00	9.200000000000e-02
4.70000000e-02	2.020064448196e+00	9.400000000000e-02
4.80000000e-02	2.017426174666e+00	9.600000000000e-02
4.90000000e-02	2.014878609355e+00	9.800000000000e-02
5.00000000e-02	2.012417909273e+00	1.000000000000e-01
5.10000000e-02	2.010040439834e+00	1.020000000000e-01
5.20000000e-02	2.007742760597e+00	1.040000000000e-01
5.30000000e-02	2.005521612193e+00	1.060000000000e-01
5.40000000e-02	2.003373904317e+00	1.080000000000e-01
5.50000000e-02	2.001296704685e+00	1.100000000000e-01
5.60000000e-02	1.999287228868e+00	1.120000000000e-01
5.70000000e-02	1.997342830916e+00	1.140000000000e-01
5.80000000e-02	1.995460994708e+00	1.160000000000e-01
5.90000000e-02	1.993639325953e+00	1.180000000000e-01
6.00000000e-02	1.991875544794e+00	1.200000000000e-01
6.10000000e-02	1.990167478950e+00	1.220000000000e-01
6.20000000e-02	1.988513057366e+00	1.240000000000e-01
6.30000000e-02	1.986910304314e+00	1.260000000000e-01
6.40000000e-02	1.985357333906e+00	1.280000000000e-01
6.50000000e-02	1.983852345002e+00	1.300000000000e-01
6.60000000e-02	1.982393616460e+00	1.320000000000e-01
6.70000000e-02	1.980979502714e+00	1.340000000000e-01
6.80000000e-02	1.979608429642e+00	1.360000000000e-01
6.90000000e-02	1.978278890721e+00	1.380000000000e-01
7.00000000e-02	1.976989443421e+00	1.400000000000e-01
7.10000000e-02	1.975738705841e+00	1.420000000000e-01
7.20000000e-02	1.974525353554e+00	1.440000000000e-01
7.30000000e-02	1.973348116658e+00	1.460000000000e-01
7.40000000e-02	1.972205777003e+00	1.480000000000e-01
7.50000000e-02	1.971097165597e+00	1.500000000000e-01
7.60000000e-02	1.970021160165e+00	1.520000000000e-01
7.70000000e-02	1.968976682857e+00	1.540000000000e-01
