# t	y_num	y_exact	abs_err	rel_err
1.00000000e-03	1.200240168098e+00	1.000000000000e+00	2.002401680977e-01	2.002401680977e-01
2.00000000e-03	1.200480672782e+00	1.000000000000e+00	2.004806727817e-01	2.004806727817e-01
3.00000000e-03	1.200721514640e+00	1.000000000000e+00	2.007215146396e-01	2.007215146396e-01
4.00000000e-03	1.200962694260e+00	1.000000000000e+00	2.009626942603e-01	2.009626942603e-01
5.00000000e-03	1.201204212234e+00	1.000000000000e+00	2.012042122340e-01	2.012042122340e-01
6.00000000e-03	1.201446069152e+00	1.000000000000e+00	2.014460691522e-01	2.014460691522e-01
7.00000000e-03	1.201688265608e+00	1.000000000000e+00	2.016882656077e-01	2.016882656077e-01
8.00000000e-03	1.201930802195e+00	1.000000000000e+00	2.019308021947e-01	2.019308021947e-01
9.00000000e-03	1.202173679509e+00	1.000000000000e+00	2.021736795086e-01	2.021736795086e-01
1.00000000e-02	1.202416898146e+00	1.000000000000e+00	2.024168981462e-01	2.024168981462e-01
1.10000000e-02	1.202660458706e+00	1.000000000000e+00	2.026604587058e-01	2.026604587058e-01
1.20000000e-02	1.202904361787e+00	1.000000000000e+00	2.029043617868e-01	2.029043617868e-01
1.30000000e-02	1.203148607990e+00	1.000000000000e+00	2.031486079899e-01	2.031486079899e-01
1.40000000e-02	1.203393197918e+00	1.000000000000e+00	2.033931979175e-01	2.033931979175e-01
1.50000000e-02	1.203638132173e+00	1.000000000000e+00	2.036381321731e-01	2.036381321731e-01
1.60000000e-02	1.203883411361e+00	1.000000000000e+00	2.038834113615e-01	2.038834113615e-01
1.70000000e-02	1.204129036089e+00	1.000000000000e+00	2.041290360890e-01	2.041290360890e-01
1.80000000e-02	1.204375006963e+00	1.000000000000e+00	2.043750069632e-01	2.043750069632e-01
1.90000000e-02	1.204621324593e+00	1.000000000000e+00	2.046213245931e-01	2.046213245931e-01
2.00000000e-02	1.204867989589e+00	1.000000000000e+00	2.048679895890e-01	2.048679895890e-01
2.10000000e-02	1.205115002563e+00	1.000000000000e+00	2.051150025627e-01	2.051150025627e-01
2.20000000e-02	1.205362364127e+00	1.000000000000e+00	2.053623641273e-01	2.053623641273e-01
2.30000000e-02	1.205610074897e+00	1.000000000000e+00	2.056100748972e-01	2.056100748972e-01
2.40000000e-02	1.205858135488e+00	1.000000000000e+00	2.058581354884e-01	2.058581354884e-01
2.50000000e-02	1.206106546518e+00	1.000000000000e+00	2.061065465181e-01	2.061065465181e-01
2.60000000e-02	1.206355308605e+00	1.000000000000e+00	2.063553086049e-01	2.063553086049e-01
2.70000000e-02	1.206604422369e+00	1.000000000000e+00	2.066044223690e-01	2.066044223690e-01
2.80000000e-02	1.206853888432e+00	1.000000000000e+00	2.068538884317e-01	2.068538884317e-01
2.90000000e-02	1.207103707416e+00	1.000000000000e+00	2.071037074160e-01	2.071037074160e-01
3.00000000e-02	1.207353879946e+00	1.000000000000e+00	2.073538799461e-01	2.073538799461e-01
3.10000000e-02	1.207604406648e+00	1.000000000000e+00	2.076044066478e-01	2.076044066478e-01
3.20000000e-02	1.207855288148e+00	1.000000000000e+00	2.078552881480e-01	2.078552881480e-01
3.30000000e-02	1.208106525075e+00	1.000000000000e+00	2.081065250754e-01	2.081065250754e-01
3.40000000e-02	1.208358118060e+00	1.000000000000e+00	2.083581180600e-01	2.083581180600e-01
3.50000000e-02	1.208610067733e+00	1.000000000000e+00	2.086100677330e-01	2.086100677330e-01
3.60000000e-02	1.208862374727e+00	1.000000000000e+00	2.088623747273e-01	2.088623747273e-01
3.70000000e-02	1.209115039677e+00	1.000000000000e+00	2.091150396773e-01	2.091150396773e-01
3.80000000e-02	1.209368063218e+00	1.000000000000e+00	2.093680632185e-01	2.093680632185e-01
3.90000000e-02	1.209621445988e+00	1.000000000000e+00	2.096214459881e-01	2.096214459881e-01
4.00000000e-02	1.209875188625e+00	1.000000000000e+00	2.098751886248e-01	2.098751886248e-01
4.10000000e-02	1.210129291769e+00	1.000000000000e+00	2.101292917686e-01	2.101292917686e-01
4.20000000e-02	1.210383756061e+00	1.000000000000e+00	2.103837560609e-01	2.103837560609e-01
4.30000000e-02	1.210638582145e+00	1.000000000000e+00	2.106385821449e-01	2.106385821449e-01
4.40000000e-02	1.210893770665e+00	1.000000000000e+00	2.108937706649e-01	2.108937706649e-01
4.50000000e-02	1.211149322267e+00	1.000000000000e+00	2.111493222668e-01	2.111493222668e-01
4.60000000e-02	1.211405237598e+00	1.000000000000e+00	2.114052375980e-01	2.114052375980e-01
4.70000000e-02	1.211661517307e+00	1.000000000000e+00	2.116615173075e-01	2.116615173075e-01
4.80000000e-02	1.211918162045e+00	1.000000000000e+00	2.119181620455e-01	2.119181620455e-01
4.90000000e-02	1.212175172464e+00	1.000000000000e+00	2.121751724639e-01	2.121751724639e-01
5.00000000e-02	1.212432549216e+00	1.000000000000e+00	2.124325492161e-01	2.124325492161e-01
5.10000000e-02	1.212690292957e+00	1.000000000000e+00	2.126902929568e-01	2.126902929568e-01
5.20000000e-02	1.212948404342e+00	1.000000000000e+00	2.129484043424e-01	2.129484043424e-01
5.30000000e-02	1.213206884031e+00	1.000000000000e+00	2.132068840308e-01	2.132068840308e-01
5.40000000e-02	1.213465732681e+00	1.000000000000e+00	2.134657326813e-01	2.134657326813e-01
5.50000000e-02	1.213724950955e+00	1.000000000000e+00	2.137249509548e-01	2.137249509548e-01
