# t	y_num	y_exact	abs_err	rel_err
1.00000000e-03	2.002003004340e+00	1.000000000000e+00	1.002003004340e+00	1.002003004340e+00
2.00000000e-03	2.004012034767e+00	1.000000000000e+00	1.004012034767e+00	1.004012034767e+00
3.00000000e-03	2.006027117508e+00	1.000000000000e+00	1.006027117508e+00	1.006027117508e+00
4.00000000e-03	2.008048278943e+00	1.000000000000e+00	1.008048278943e+00	1.008048278943e+00
5.00000000e-03	2.010075545601e+00	1.000000000000e+00	1.010075545601e+00	1.010075545601e+00
6.00000000e-03	2.012108944171e+00	1.000000000000e+00	1.012108944171e+00	1.012108944171e+00
7.00000000e-03	2.014148501493e+00	1.000000000000e+00	1.014148501493e+00	1.014148501493e+00
8.00000000e-03	2.016194244566e+00	1.000000000000e+00	1.016194244566e+00	1.016194244566e+00
9.00000000e-03	2.018246200546e+00	1.000000000000e+00	1.018246200546e+00	1.018246200546e+00
1.00000000e-02	2.020304396748e+00	1.000000000000e+00	1.020304396748e+00	1.020304396748e+00
1.10000000e-02	2.022368860648e+00	1.000000000000e+00	1.022368860648e+00	1.022368860648e+00
1.20000000e-02	2.024439619883e+00	1.000000000000e+00	1.024439619883e+00	1.024439619883e+00
1.30000000e-02	2.026516702251e+00	1.000000000000e+00	1.026516702251e+00	1.026516702251e+00
1.40000000e-02	2.028600135716e+00	1.000000000000e+00	1.028600135716e+00	1.028600135716e+00
1.50000000e-02	2.030689948405e+00	1.000000000000e+00	1.030689948405e+00	1.030689948405e+00
1.60000000e-02	2.032786168611e+00	1.000000000000e+00	1.032786168611e+00	1.032786168611e+00
1.70000000e-02	2.034888824797e+00	1.000000000000e+00	1.034888824797e+00	1.034888824797e+00
1.80000000e-02	2.036997945592e+00	1.000000000000e+00	1.036997945592e+00	1.036997945592e+00
1.90000000e-02	2.039113559795e+00	1.000000000000e+00	1.039113559795e+00	1.039113559795e+00
2.00000000e-02	2.041235696377e+00	1.000000000000e+00	1.041235696377e+00	1.041235696377e+00
