# t	x	y	H(x,y)
0.00000000e+00	1.500000000000e+00	6.000000000000e-01	2.205360515658e+00
1.00000000e-03	1.500599894798e+00	6.003002550815e-01	2.205360515658e+00
2.00000000e-03	1.501199578387e+00	6.006010206522e-01	2.205360515658e+00
3.00000000e-03	1.501799049553e+00	6.009022972013e-01	2.205360515658e+00
4.00000000e-03	1.502398307083e+00	6.012040852186e-01	2.205360515658e+00
5.00000000e-03	1.502997349762e+00	6.015063851939e-01	2.205360515658e+00
6.00000000e-03	1.503596176371e+00	6.018091976173e-01	2.205360515658e+00
7.00000000e-03	1.504194785691e+00	6.021125229790e-01	2.205360515658e+00
8.00000000e-03	1.504793176500e+00	6.024163617698e-01	2.205360515658e+00
9.00000000e-03	1.505391347574e+00	6.027207144804e-01	2.205360515658e+00
1.00000000e-02	1.505989297689e+00	6.030255816017e-01	2.205360515658e+00
1.10000000e-02	1.506587025616e+00	6.033309636252e-01	2.205360515658e+00
1.20000000e-02	1.507184530126e+00	6.036368610422e-01	2.205360515658e+00
1.30000000e-02	1.507781809988e+00	6.039432743446e-01	2.205360515658e+00
1.40000000e-02	1.508378863968e+00	6.042502040242e-01	2.205360515658e+00
1.50000000e-02	1.508975690831e+00	6.045576505732e-01	2.205360515658e+00
1.60000000e-02	1.509572289340e+00	6.048656144841e-01	2.205360515658e+00
1.70000000e-02	1.510168658256e+00	6.051740962493e-01	2.205360515658e+00
1.80000000e-02	1.510764796337e+00	6.054830963618e-01	2.205360515658e+00
1.90000000e-02	1.511360702340e+00	6.057926153145e-01	2.205360515658e+00
2.00000000e-02	1.511956375021e+00	6.061026536007e-01	2.205360515658e+00
2.10000000e-02	1.512551813132e+00	6.064132117139e-01	2.205360515658e+00
2.20000000e-02	1.513147015425e+00	6.067242901476e-01	2.205360515658e+00
2.30000000e-02	1.513741980648e+00	6.070358893959e-01	2.205360515658e+00
2.40000000e-02	1.514336707549e+00	6.073480099526e-01	2.205360515658e+00
2.50000000e-02	1.514931194873e+00	6.076606523122e-01	2.205360515658e+00
2.60000000e-02	1.515525441363e+00	6.079738169690e-01	2.205360515658e+00
2.70000000e-02	1.516119445761e+00	6.082875044178e-01	2.205360515658e+00
2.80000000e-02	1.516713206806e+00	6.086017151533e-01	2.205360515658e+00
2.90000000e-02	1.517306723236e+00	6.089164496706e-01	2.205360515658e+00
3.00000000e-02	1.517899993785e+00	6.092317084650e-01	2.205360515658e+00
3.10000000e-02	1.518493017188e+00	6.095474920319e-01	2.205360515658e+00
3.20000000e-02	1.519085792176e+00	6.098638008668e-01	2.205360515658e+00
3.30000000e-02	1.519678317478e+00	6.101806354655e-01	2.205360515658e+00
3.40000000e-02	1.520270591823e+00	6.104979963241e-01	2.205360515658e+00
3.50000000e-02	1.520862613936e+00	6.108158839387e-01	2.205360515658e+00
3.60000000e-02	1.521454382542e+00	6.111342988055e-01	2.205360515658e+00
3.70000000e-02	1.522045896361e+00	6.114532414211e-01	2.205360515658e+00
3.80000000e-02	1.522637154114e+00	6.117727122821e-01	2.205360515658e+00
3.90000000e-02	1.523228154518e+00	6.120927118853e-01	2.205360515658e+00
4.00000000e-02	1.523818896290e+00	6.124132407278e-01	2.205360515658e+00
4.10000000e-02	1.524409378145e+00	6.127342993067e-01	2.205360515658e+00
4.20000000e-02	1.524999598793e+00	6.130558881194e-01	2.205360515658e+00
4.30000000e-02	1.525589556945e+00	6.133780076632e-01	2.205360515658e+00
4.40000000e-02	1.526179251310e+00	6.137006584358e-01	2.205360515658e+00
4.50000000e-02	1.526768680593e+00	6.140238409351e-01	2.205360515658e+00
4.60000000e-02	1.527357843500e+00	6.143475556589e-01	2.205360515658e+00
4.70000000e-02	1.527946738732e+00	6.146718031054e-01	2.205360515658e+00
4.80000000e-02	1.528535364990e+00	6.149965837727e-01	2.205360515658e+00
4.90000000e-02	1.529123720972e+00	6.153218981593e-01	2.205360515658e+00
5.00000000e-02	1.529711805376e+00	6.156477467636e-01	2.205360515658e+00
5.10000000e-02	1.530299616895e+00	6.159741300843e-01	2.205360515658e+00
5.20000000e-02	1.530887154223e+00	6.163010486203e-01	2.205360515658e+00
5.30000000e-02	1.531474416050e+00	6.166285028704e-01	2.205360515658e+00
5.40000000e-02	1.532061401065e+00	6.169564933336e-01	2.205360515658e+00
5.50000000e-02	1.532648107955e+00	6.172850205093e-01	2.205360515658e+00
5.60000000e-02	1.533234535405e+00	6.176140848966e-01	2.205360515658e+00
5.70000000e-02	1.533820682098e+00	6.179436869950e-01	2.205360515658e+00
5.80000000e-02	1.534406546714e+00	6.182738273041e-01	2.205360515658e+00
5.90000000e-02	1.534992127934e+00	6.186045063235e-01	2.205360515658e+00
6.00000000e-02	1.535577424434e+00	6.189357245531e-01	2.205360515658e+00
6.10000000e-02	1.536162434889e+00	6.192674824927e-01	2.205360515658e+00
6.20000000e-02	1.536747157973e+00	6.195997806423e-01	2.205360515658e+00
6.30000000e-02	1.537331592358e+00	6.199326195021e-01	2.205360515658e+00
6.40000000e-02	1.537915736712e+00	6.202659995722e-01	2.205360515658e+00
6.50000000e-02	1.538499589704e+00	6.205999213531e-01	2.205360515658e+00
6.60000000e-02	1.539083149998e+00	6.209343853451e-01	2.205360515658e+00
6.70000000e-02	1.539666416258e+00	6.212693920487e-01	2.205360515658e+00
6.80000000e-02	1.540249387147e+00	6.216049419646e-01	2.205360515658e+00
6.90000000e-02	1.540832061324e+00	6.219410355935e-01	2.205360515658e+00
7.00000000e-02	1.541414437446e+00	6.222776734362e-01	2.205360515658e+00
